state_1,state_2,state_3
5.866701907003259,5.261119893213092,6.540442954471368
5.866208301004284,5.259082768317325,6.532720795094168
5.861448067315288,5.2552506908460455,6.526012562113887
5.86248486212807,5.246809162454535,6.532610902944365
5.862792517745695,5.247270398928869,6.537099048304975
5.8585710042261026,5.246947735176596,6.533226384300346
5.863083023613724,5.250975723795519,6.549457248274518
5.858621111214636,5.244397522152958,6.540820764794835
5.860259418496558,5.264149765356559,6.532857186880324
5.864507807764416,5.259902521188526,6.529903798320894
5.865994279716862,5.251111989663456,6.536477642349976
5.863177446845105,5.23812747010341,6.515873235883657
5.860199146668173,5.235139760047043,6.525330809368064
5.865731169317383,5.250380298547605,6.529842926828942
5.862469352085611,5.250034253106563,6.504319326944946
5.857876547300632,5.250144061321182,6.513508990060133
5.859701594648891,5.258221650430935,6.498381524752409
5.857114544194659,5.2448919190709224,6.521667877585275
5.860027911848499,5.248703782193792,6.502884042157114
5.855955575430212,5.252152682428325,6.508050284077734
5.860042393104726,5.252519431177444,6.507039405283899
5.8632906243331675,5.249296804202536,6.50694385657041
5.862508641798589,5.253700920352584,6.496318112606769
5.863222592934652,5.249802455677968,6.5142174595756295
5.8635349012456635,5.258254810944215,6.50931041700784
5.863025685497289,5.248153769902915,6.511540712129832
5.8598077716038475,5.244974999325258,6.502210702033615
5.86067880794944,5.247026048600283,6.504521840923845
5.861365477379714,5.246860149101513,6.503645425195226
5.862172783456221,5.247858417167799,6.514776738083471
5.865918632265577,5.248916776430161,6.521075213976582
5.863982412817075,5.250106227979094,6.543443473674348
5.863747969814986,5.256789888043324,6.525888111819694
5.864390181789478,5.261280003174602,6.523381861089563
5.864176235794483,5.260042897781296,6.524747875634375
5.8682659584458206,5.2569016779741355,6.525250271627738
5.870490273183586,5.263703995749507,6.512638143268217
5.868418564530477,5.255358203250953,6.528774096002225
5.8638225601795115,5.256020766172734,6.515250408135592
5.862705995217451,5.237930419101791,6.523250626899307
5.860227772603673,5.244218662963988,6.527245456707852
5.865478328825631,5.2502783129807495,6.523175456376335
5.863714052066282,5.250636518331519,6.519964074685258
5.861785587503014,5.238459810531036,6.514982334538754
5.864855510962132,5.255011012512941,6.526737826853739
5.865696255348165,5.255182536935104,6.52990629870491
5.867457987789843,5.261526709579949,6.538024075627961
5.869732910056178,5.258227509486569,6.534948910502691
5.869621015381426,5.261348125723832,6.5407254145250615
5.869801050610494,5.259560240252602,6.546616253360935
5.866496749468975,5.260453209763451,6.556053352031334
5.867525668051794,5.2672021208323825,6.5362621845732125
5.866705027753576,5.268883750710073,6.539526089642486
5.868285103450984,5.257097204211018,6.551166112676209
5.870894626769017,5.256533358782427,6.536804749210183
5.867826578403586,5.2554626526755195,6.529687929694103
5.864027319394527,5.250315111765803,6.528304344190178
5.866672029259901,5.2480596667735036,6.527099054516837
5.863879219846927,5.247858901988594,6.518529457046716
5.864320448110058,5.2464506469210335,6.537383145292259
5.869833513577983,5.246141026346853,6.51694261253117
5.867431616420918,5.246598830530639,6.531409871443134
5.863112139171577,5.250635685620685,6.5282922046931615
5.864147923552148,5.263220989166737,6.540465631245182
5.867718764043312,5.2577728516788005,6.542051830804076
5.8672164331985295,5.2550253609832716,6.541686229545859
5.871093552460391,5.254350305599991,6.517790856328504
5.86791564867106,5.2569936849933905,6.510150315201306
5.868681721327823,5.252333838805349,6.519962387619711
5.868000512468111,5.256477081575394,6.536711105933918
5.872547424801213,5.2503633984443745,6.558209731056152
5.870920032329877,5.2490121464036905,6.5398319745426825
5.870327676987188,5.2455303077098385,6.524594186787882
5.872563306395734,5.257361026593403,6.5415032192983835
5.871943044983786,5.262875392957577,6.566162525845417
5.871689719463803,5.256479328912656,6.55928698760418
5.868053112756226,5.2574016496095375,6.563321044690049
5.869143155322583,5.260633008158159,6.566294460887249
5.868018457737713,5.261981148422842,6.552197112386719
5.868140405213472,5.245545069682531,6.555477969064018
5.867539157322617,5.235003238704277,6.565115787348431
5.86804503583223,5.2500709942729475,6.54473179878642
5.869994050994385,5.249026348307393,6.545730556167278
5.870121870368362,5.250090383130229,6.537826614819274
5.870827322228654,5.268552333701227,6.533604351654495
5.867065838423179,5.258540874835236,6.531047037923036
5.867449557317939,5.254638051314376,6.538057559315256
5.865170400231561,5.259163552314104,6.5562964375382675
5.867838090302389,5.250147232131961,6.539426537541727
5.86964102125056,5.254647476214534,6.552991261729252
5.868950064650722,5.255568114139023,6.545434208636918
5.862068315899411,5.254583447038071,6.540334770509792
5.866435010576853,5.250782896641313,6.523020056469747
5.86952629211307,5.255117470369599,6.539405999956661
5.866156924041568,5.249343468880195,6.547929829361054
5.867865707512338,5.246201700948048,6.537091555852697
5.866959883435375,5.243519296227213,6.551565248836105
5.866891169542906,5.252097270737107,6.5581036876988215
5.870046383229481,5.2637907826586545,6.554344510402213
5.870752411912018,5.250873153380462,6.549667237310653
5.8674421410461335,5.257640831086541,6.557300849835437
5.8687013221612805,5.2415335841944,6.5610769524472055
5.87090753497306,5.258754569598947,6.557609446960318
5.871899103096252,5.259394957745664,6.5340250987320685
5.872029436186747,5.2553741537614265,6.547136370601978
5.867403458705071,5.252899875205542,6.544593380214582
5.871987712363368,5.247371802636115,6.559225092204782
5.868787839109696,5.2498302665365815,6.5509362276320475
5.870571899557788,5.257602146004668,6.5685164375361325
5.872471872483853,5.257622047841501,6.568614796394375
5.867549622779961,5.254244499637205,6.5635605598991065
5.868731844361823,5.257555150347183,6.555739385718263
5.865533720557813,5.2544210559418545,6.536018594650702
5.864728122727562,5.2558101901610215,6.537447899570144
5.868634504564595,5.2440244424518205,6.545690999802561
5.86627236908837,5.242085636475564,6.54884353533931
5.86448055392215,5.256024647909953,6.557134645861111
5.867697599206766,5.2429640807244535,6.539138231389141
5.863860624324254,5.2534504378323845,6.553074095664794
5.86356957563434,5.250958381315939,6.542755204817691
5.8644365450060905,5.2394494672775425,6.533797415805222
5.866168370552151,5.260391461359604,6.548112543931901
5.864767837745444,5.253551523283618,6.5451721018011675
5.861285944367459,5.254146497407201,6.557291865326278
5.8634745368703935,5.251075653590961,6.545672645842057
5.863375114607199,5.2469194702188515,6.527226388554614
5.865122953792476,5.249262012364414,6.515203187051539
5.86776055362047,5.252997973274533,6.52384989165513
5.867186232996191,5.254137323339813,6.5189181006358226
5.8709111460395045,5.25237215468007,6.52774491742163
5.869600519977466,5.248879987672227,6.530183698593147
5.873713797984423,5.243074184374401,6.5399378561306305
5.869794510212227,5.250794545368472,6.5345900766810345
5.866389073129439,5.253026534773914,6.540284609468188
5.871625494191501,5.260560975279248,6.535253632870811
5.86882579002154,5.25108080808556,6.540557069205042
5.8716201105860995,5.251877570244547,6.537533124701168
5.867542632983679,5.246158377893386,6.5432784881485695
5.867315506616282,5.2520558206255545,6.565368201179401
5.86977048195941,5.257815332187165,6.562104886000964
5.8719718501492775,5.268383105228413,6.5589035352047045
5.869397840801779,5.259652431004113,6.557723000040694
5.867966704055145,5.2636032856055115,6.5505955897709045
5.8646641283628504,5.256256880206222,6.543335257222789
5.86794410854469,5.259462666374542,6.510316898508079
5.866145553144534,5.266728984151969,6.521504228561221
5.8650304833290665,5.259362112620246,6.523469072686452
5.867589339762398,5.255461731251796,6.507381093506908
5.86475598824021,5.258012055841146,6.502206591791389
5.866342735380154,5.256878667684872,6.513517171513536
5.865985455568733,5.263396584660254,6.509752172338481
5.8641247530920895,5.25726045131728,6.514691381413106
5.862914351460943,5.252180926963627,6.507133349723299
5.866222978655691,5.250777122495292,6.5052352625185526
